"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments","FID","new_Lat","new_Lon","notes"
"50",NA,"HUCP",NA,"17296","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Selusniaki, M",NA,NA,"048",NA,"Beltrami, L",2005,12,4,"brazil","parana",NA,"Ao lado do bosque do papa",0,0,NA,"17211",NA,"Citharexylum solanaceum Cham.",NA,NA,NA,-24.63581955,-51.61693027,"centroide estado (0)"
"51",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA124316","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Cordeiro, J. & Barbosa, E.","2012-01-01T00:00:00.000+0000",NA,"2586",NA,"Dunaiski Jr., A.",2004,10,30,"brazil","parana","curitiba","Bairro Abranches.",NA,NA,NA,"BRA:ESALQ:ESA:0ESA124316",NA,"Citharexylum solanaceum Cham.",NA,NA,875,-25.478163,-25.478163,"centroide mpo"
"52",NA,"UNESC","CRI","7901","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","M. Sobral","2004-11-17T00:00:00.000+0000",NA,NA,NA,"Vanilde C. Zanette",2004,11,17,"brazil","santa catarina","criciuma","UNESC.",-49.37,-28.678056,NA,"BRA:UNESC:CRI:0000007901",NA,"Citharexylum solanaceum Cham.",NA,NA,295,-28.678056,-49.37,"original coordinates"
"53",NA,"FUVATES","HVAT","3541","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","S. Smith","2003-04-01T00:00:00.000+0000",NA,"1457",NA,"A. Kegler",2003,2,4,"brazil","rio grande do sul","caxias do sul","Ana Rech",0,0,"Doação do Herbário HHUCS, registro HHUCS 20259","BRA:FUVATES:HVAT:0000003541",NA,"Citharexylum solanaceum Cham.",NA,NA,235,-29.102391,-51.024681,"centroide mpo (0)"
"54",NA,"LEB","BRASIL","77433-1","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","S.F.Smith",NA,NA,NA,NA,"A.Kegler",2003,2,4,"brazil","rio grande do sul",NA,"Caxias do Sul. Ana Rech",NA,NA,"Na mata secundária","CDF6F85A-F5F8-49CA-BBD9-0FC6B279B67A",NA,"Citharexylum solanaceum Cham.",NA,NA,NA,-29.78635099,-29.78635099,"centroide estado"
"55",NA,"MBM","MBM","384297","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Barboza, E","2012-01-01T00:00:00.000+0000",NA,"2180",NA,"Dunaiski Jr.; A.",2003,12,7,"brazil","parana","sao jose dos pinhais","Campo Largo da Roseira",0,0,NA,"BRA:MBM:MBM:0000384297",NA,"Citharexylum solanaceum Cham.",NA,NA,856,-25.664044,-49.094709,"centroide mpo (0)"
"56","2013-12-22T19:26:00.000+0000","MO","MO","2886969","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","S.F. Smith IV.","2003-01-01T00:00:00.000+0000",NA,"Kegler 1457",NA,"A. Kegler",2003,NA,NA,"brazil",NA,NA,"RS-Mun. de Caxias do Sul-Ana Rech na mata secundária",NA,NA,NA,"urn:catalog:MO:Tropicos:2886969","http://www.tropicos.org/Specimen/2886969","Citharexylum solanaceum Cham.",NA,NA,NA,NA,NA,"no coordinates, municipality or state provided"
"57",NA,"Universidade Regional Integrada do Alto Uruguai e das Missões (URI)","HPBR","8256","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","LONGHI, S. J.","2002-06-12T00:00:00.000+0000",NA,NA,NA,"ARTUSO, I. J.",2002,5,8,"brazil","rio grande do sul","benjamim constant do sul","RESERVA INDIGENA DO VOTOURO",NA,NA,NA,"BRA:URICER:HPBR:0000008256",NA,"Citharexylum solanaceum Cham.",NA,NA,NA,NA,NA,"centroide mpo"
"58",NA,"LEB","BRASIL","80209-1","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","M.Sobral",NA,NA,NA,NA,"S.Diesel",2001,11,8,"brazil","rio grande do sul",NA,"Arroio Caracol. Canela",NA,NA,NA,"BCE42E52-A392-4B30-BE9B-0845245EC34A",NA,"Citharexylum solanaceum Cham.",NA,NA,NA,-29.78635099,-29.78635099,"centroide estado"
"59",NA,"NY","NY","584320","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","S. F. Smith","2001-09-01T00:00:00.000+0000",NA,"822",NA,"R. A. Wasum",2000,12,10,"brazil","rio grande do sul",NA,"L. Sao Paulo",-50.5840138701795,-29.4522266775245,NA,"bc06cfa2-4df7-4fec-8755-be78a69de623",NA,"Citharexylum solanaceum Cham.",NA,NA,NA,-29.4522266775245,-50.5840138701795,"original coordinates"
