"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"101",NA,NA,"HERB","146623","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","-","",NA,"",NA,"Dusén, P. K. H.",NA,NA,NA,"brazil","Paraná","","",-53,-23,"","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates outside municipality original in  falls in loanda","GBIF"
"102",NA,NA,"Botany",NA,"Affonsea dusenii Harms",NA,"Fabaceae","Affonsea","dusenii",NA,"Harms","","",NA,"8788",NA,"P. Dusén",NA,NA,NA,"brazil","","","",-52.8731,-10.8339,"","Affonsea dusenii Harms",NA,"original coordinates outside municipality original in  falls in sao jose do xingu","GBIF"
"103",NA,NA,"RB","RB00161438","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","H.C. de Lima","",NA,"103",NA,"E. Schwebel",NA,NA,NA,"brazil","São Paulo","Santo André","Alto da Serra.",-46.443939,-23.726284,"","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo outside municipality original in santo andre falls in ribeirao pires","GBIF"
"104",NA,NA,"MBM","44151","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Pennington, TD","",NA,"35243",NA,"Hatschbach, G; Kummrow, R",NA,NA,NA,"brazil","Paraná","Paranaguá","Ipanema",-48.524241,-25.525413,"","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) OK","GBIF"
"105",NA,NA,"MBM","42245","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Possette, RFS","2009-02-10",NA,"5170",NA,"Hatschbach, G",NA,NA,NA,"brazil","Paraná","Guaratuba","Rio Boguaçu, cabeceiras",-48.768272,-25.817781,"Árvore 6m, flores alvas. Da mata sub-tropical litoranea","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) OK","GBIF"
"106",NA,NA,"MO","2901200","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","T.D. Pennington","1996-01-01",NA,"Edwall 1923",NA,"Gustavo Edwall",NA,NA,NA,"brazil","São Paulo","","Campo Grande, Serra do Mar.",NA,NA,"","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"107",NA,NA,"MBM","40748","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Pennington, TD","",NA,"35241",NA,"Hatschbach, G; Kummrow, R",NA,NA,NA,"brazil","Paraná","Paranaguá","Ipanema",-48.524241,-25.525413,"","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) OK","GBIF"
"108",NA,NA,"FMNH-B-Types","1067","Affonsea edwallii Harms",NA,"Fabaceae","Affonsea","edwallii",NA,"Harms","","",NA,"1923",NA,"G. Edwall",NA,NA,NA,"brazil","","","",NA,NA,"","Affonsea edwallii Harms",NA,NA,"GBIF"
"109",NA,NA,"MO","2901455","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","T.D. Pennington","",NA,"Dusén 8788",NA,"Per Dusén",NA,NA,NA,"brazil","Paraná","","Jacarehy.",NA,NA,"","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"110",NA,NA,"Herbarium W","1958-0021788","Affonsea edwallii Harms",NA,"Fabaceae","Affonsea","edwallii",NA,"Harms","","",NA,"",NA,"REFLORA provisional entry",NA,NA,NA,"brazil","","","",NA,NA,"","Affonsea edwallii Harms",NA,NA,"GBIF"
"111",NA,NA,"MBM","8224","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Pennington, TD","",NA,"20089",NA,"Hatschbach, G",NA,NA,NA,"brazil","Paraná","Paranaguá","Rio Perequê",-48.524241,-25.525413,"","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) OK","GBIF"
"112",NA,NA,"MBM","54237","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Possette, RFS","2009-02-10",NA,"37958",NA,"Hatschbach, G",NA,NA,NA,"brazil","Paraná","Morretes","Rio Pequeno, próximo a barra",-48.855729,-25.518545,"Arbusto, 2m, fruto amarelo comestível. orla mangue. Carpoteca","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) OK","GBIF"
"113",NA,NA,"MBM","155460","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Possette, RFS","2009-02-10",NA,"5405",NA,"Falkenberg, DB; et al.",NA,NA,NA,"brazil","Santa Catarina","Itapoá","Fazenda Palamital. propriedade de Lúcio Machado. Póx. de Volta Grande",-48.652853,-26.082161,"Em mata de restinga paludosa, na beira de córrego. Árvore 6m de altura. Cálice bem desenvolvido. Corola gamopétala, 5-6 m. Estames brancos. 4-5 pistilosa/flor","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) OK","GBIF"
"114",NA,NA,"MBM","19991","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Pennington, TD","",NA,"27598",NA,"Hatschbach, G",NA,NA,NA,"brazil","Paraná","Guaraqueçaba","Rio Martins",-48.367204,-25.234919,"","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) OK","GBIF"
"115",NA,NA,"MBM","54236","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Pennington, TD","",NA,"37330",NA,"Hatschbach, G",NA,NA,NA,"brazil","Paraná","Paranaguá","Balneário Grajaú",-48.524241,-25.525413,"","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) OK","GBIF"
"116",NA,NA,"MBM","23093","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Possette, RFS","2009-02-10",NA,"29789",NA,"Hatschbach, G",NA,NA,NA,"brazil","Paraná","Guaratuba","Rio Pirizal",-48.768272,-25.817781,"Arbusto 3m, capoeira","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) OK","GBIF"
"117",NA,NA,"IAC","27028","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","F.C.P. Garcia","1999-02-15",NA,"s/nº",NA,"G. Edwall",NA,NA,NA,"brazil","Mato Grosso do Sul","Campo Grande","",-54.6464,-20.4428,"Planta doada por José de Campos Novaes","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates OK","GBIF"
"118",NA,NA,"MBM","51533","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Possete, RFS; Possete, RFS","2009-02-10",NA,"2221",NA,"Reitz, R; Klein, RM",NA,NA,NA,"brazil","Santa Catarina","Itajaí","Morro da Fazenda",-48.752558,-26.968315,"Arvoreta, flor branca. Mata 8m altura","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) OK","GBIF"
