"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"63","2017-11-19T07:39:41.000+0000","JBRJ","RB","RB00114545","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"143",NA,"Marli P. de Lima; et.al",1987,8,13,"Brazil","Rio de Janeiro","Volta Redonda","Área  de  Relevancia  Ecológica  da  SEMA-Floresta  da  CICUTA.    Áevore  com  cerca  de  10  metros.  Frutos  ainda  verdes  com  manchas  acinzentadas.  Beira  do  caminho  da  guarda  (cerca  de  300m).  Muito  frequente  na  mata  pluvial  de  baixa  altitude.",NA,NA,NA,"urn:catalog:JBRJ:RB:114545",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"65",NA,"MBM","MBM","291119","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"s.n.",NA,"Almeida, CC",1987,8,13,"Brazil","Rio de Janeiro","Volta Redonda","Vila Santa Cecília",0,0,NA,"BRA:MBM:MBM:0000291119",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"66","2017-10-18T15:50:44.000+0000","JBRJ","RB","RB00114544","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"141",NA,"Marli P. de Lima; et.al",1986,5,19,"Brazil","Rio de Janeiro","Magé","Paraiso, Centro de Primatologia.   Árvore com + ou - 25 metros de altura, casca lisa. Frutos passados. Individuo frequente no interior da mata. Centro de Primatologia",NA,NA,NA,"urn:catalog:JBRJ:RB:114544",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"67","2017-10-10T17:11:39.000+0000","JBRJ","RB","RB00166919","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","M. P. M. deLima","1988-01-01T00:00:00.000+0000","1799",NA,"R. Guedes; e tal",1985,12,10,"Brazil","Rio de Janeiro","Magé",NA,NA,NA,"àrv. ca. 20m DAP. 35cm; ramos pardos; folhas verdes discolores; glândulas , botões florais verdes","urn:catalog:JBRJ:RB:166919",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"68","2014-07-08T02:26:15.000+0000","JBRJ","RB","RB00356589","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H. C. DE LIMA",NA,"153",NA,"R. M. PIZZIOLO",1984,6,15,"Brazil","Espírito Santo","Santa Teresa","ALTO SÃO JOSÁ.",NA,NA,"ÁRV. COM FRUTOS JOVENS","urn:catalog:JBRJ:RB:356589",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"69",NA,"NY","NY","459502","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"9967",NA,"G. Martinelli",1984,10,4,"Brazil","Rio de Janeiro",NA,"III Distrito, Paraiso, Centro de Primatologia do RJ-FEEMA",-43.0407567361808,-22.6569559555097,NA,"14c8ac5d-c1fa-4beb-bb79-34f2faa42a27",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"71",NA,"NY","NY","459501","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"2293",NA,"H. C. de Lima",1984,10,23,"Brazil","Rio de Janeiro",NA,"Paraiso, area do Centro de Primatologia do RJ. Quadrat II",-43.0407567361808,-22.6569559555097,NA,"5893ca18-4bfa-410d-ad9c-ac3ea18b2ef6",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"72","2017-10-19T01:45:59.000+0000","JBRJ","RB","RB00166878","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","M. P. M. de Lima","1988-01-01T00:00:00.000+0000","2256",NA,"H.C .de Lma; et al",1984,10,18,"Brazil","Rio de Janeiro","Magé","Paraiso, área do Centro de Primatologia d oRJ. Centro de Primatologia",NA,NA,"àrv. 20m 37 DAP; folahs discolores verdes","urn:catalog:JBRJ:RB:166878",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"75","2017-10-19T01:46:00.000+0000","JBRJ","RB","RB00166898","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","M.P.M. de Lima","1988-01-01T00:00:00.000+0000","10317",NA,"G. Martinelli; et al",1984,11,9,"Brazil","Rio de Janeiro","Magé","3 distrito , Paraiso. centro de Prim. do Rj.",NA,NA,"àrv. c/18m de alt. tronco c/16c, diâm. copa c/ 8m diâm.folhass ; esteril","urn:catalog:JBRJ:RB:166898",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"76","2014-07-08T04:51:17.000+0000","JBRJ","RB","RB00166955","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","M. P. M; de Lima","1988-01-01T00:00:00.000+0000","10310",NA,"G. Martinelli; et al",1984,11,9,"Brazil","Rio de Janeiro","Magé","3º distrito , Paraiso centro de Primatologia do Rj,. Centro de Primatologia",NA,NA,"Pequena àrv. c/ 6m de alt. tronco c/ 6cm diâm. copa c/ 1m diâm.","urn:catalog:JBRJ:RB:166955",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"77",NA,"NY","NY","459500","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"10281",NA,"G. Martinelli",1984,11,8,"Brazil","Rio de Janeiro",NA,"III Distrito, Paraiso, Centro de Primatologia do RJ, mata das margens do Rio Paraiso",-43.0407567361808,-22.6569559555097,NA,"26f94613-6ee7-494f-96fb-e97a02cd2c5b",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"78","2017-10-19T01:46:03.000+0000","JBRJ","RB","RB00166965","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","M. P. M. de Lima","1988-01-01T00:00:00.000+0000","10328",NA,"G. Martinelli; et al",1984,11,9,"Brazil","Rio de Janeiro","Magé","3º Distrito, Paraiso Centro de Primatologia do RJ. Centro de Primatologia",NA,NA,"Arb. c/6m de alt. tronco c/7cm diâm. copa c/2m diâm. folhas discolores;","urn:catalog:JBRJ:RB:166965",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"80","2014-07-08T04:49:40.000+0000","JBRJ","RB","RB00166859","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","M. P. M. de Lima","1988-01-01T00:00:00.000+0000","288",NA,"L. maltone; et al",1977,9,5,"Brazil","Rio de Janeiro","Petrópolis","Serra da Estrela, Raiz da Serra, estr. Velha Estr. das Pedras.",NA,NA,"àrv. 5m heliofila. folhas verdes dicscolores fr. de coloração marrom","urn:catalog:JBRJ:RB:166859",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"81","2014-07-08T04:37:18.000+0000","JBRJ","RB","RB00168012","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Marli Pires Morim",NA,"312",NA,"L. Mantone; et al",1977,9,5,"Brazil","Rio de Janeiro","Petrópolis","Raiz da Serra, Estrada Velha - Estrada das Pedras.",NA,NA,"Heliofila árvore 4 metros de altura, folhas verddes discolores, frutos maduros de coloração marrom","urn:catalog:JBRJ:RB:168012",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"82",NA,"UnB","UB","140634","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Lewis, GP","1990-01-01T00:00:00.000+0000","3277",NA,"Heringer, EP",1953,8,8,"Brazil","Minas Gerais",NA,"Estação Experimental de Água Limpa",0,0,"Árvore 20m.","BRA:UnB:UB:0000140634",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"83","2014-07-08T04:51:19.000+0000","JBRJ","RB","RB00166975","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"4212",NA,"A. P. Duarte",1953,11,25,"Brazil","Espírito Santo","Espírito Santo","Entre Santa Thereza e Vitoria.",NA,NA,"àrv. de Porte media,","urn:catalog:JBRJ:RB:166975",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"84",NA,"UNICAMP","UEC","7265","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Ribeiro, P.G.","2016-09-01T00:00:00.000+0000","1347",NA,"Heringer, E.P.",1944,4,28,"Brazil","Minas Gerais","Coronel Pacheco","Fazenda da Liberdade",0,0,"Árvore de grande porte, fina e alta, flores creme enconstradas na mata virgens frescas.","BRA:UNICAMP:UEC:0000007265",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"85","2014-08-25T11:00:34.000+0000","JBRJ","RB","RB00528111","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C. de Lima",NA,NA,NA,"Clarindo",1943,6,3,"Brazil","Rio de Janeiro","Rio de Janeiro","Mata do Pae Ricardo.",NA,NA,NA,"urn:catalog:JBRJ:RB:528111",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"86","2017-10-19T07:54:39.000+0000","JBRJ","RB","RB00601735","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Marli P. Morim de Lima","2010-01-01T00:00:00.000+0000",NA,NA,"W.D. Barros",1941,6,1,"Brazil","Rio de Janeiro","Itatiaia","Lote 30.",NA,NA,"Árvore. Material incompleto.","urn:catalog:JBRJ:RB:601735",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"87","2014-07-07T20:16:43.000+0000","JBRJ","RB","RB00601733","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Marli P. Morim de Lima","2003-01-01T00:00:00.000+0000","114",NA,"W.D. Barros",1940,11,25,"Brazil","Rio de Janeiro","Itatiaia","Lote 30. margem da estrada.",NA,NA,"Árvore, com flores amarelas, caule liso.","urn:catalog:JBRJ:RB:601733",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"89",NA,"Instituto de Botânica, IBT","SP","24545","Piptadenia inaequalis Benth.",NA,"Fabaceae","Pseudopiptadenia","inaequalis","Benth.",NA,NA,"428",NA,"Kuhlmann, JG",1929,6,2,"Brazil","Rio de Janeiro","Rio de Janeiro","Mato do Horto Florestal",0,0,NA,"BRA:IBt:SP:0000024545",NA,"Piptadenia inaequalis Benth."
"91","2014-08-25T11:00:28.000+0000","JBRJ","RB","RB00528008","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C. de Lima",NA,NA,NA,"P. do Horto Florestal",1927,4,18,"Brazil","Rio de Janeiro","Rio de Janeiro","Matta das Obras Publicas, próximo ao Horto Florestal.",NA,NA,"Árvore de 25-30 m de alt.","urn:catalog:JBRJ:RB:528008",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"92",NA,"UNICAMP","UEC","7263","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Lewis, G.P.","1990-09-13T00:00:00.000+0000","s.n.",NA,"Antenor",1927,11,5,"Brazil","Rio de Janeiro","Rio de Janeiro","Perto do Horto Florestal, Mata.",0,0,"Árvore de 15-21 m de altura.","BRA:UNICAMP:UEC:0000007263",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"94","2014-08-25T11:00:33.000+0000","JBRJ","RB","RB00528017","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C. de Lima",NA,NA,NA,"J.G. Kulhmann",1920,11,19,"Brazil","Rio de Janeiro","Rio de Janeiro","Mundo Novo.",NA,NA,"Árvore de 20 m, fl. verde amareladas.","urn:catalog:JBRJ:RB:528017",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"95",NA,"US","Botany","1442066","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"15292",NA,"J. G. Kuhlmann",1920,11,19,"Brazil","Rio de Janeiro",NA,"Rio de Janeiro a urbem in silvis Mundo Novo.",NA,NA,NA,"http://n2t.net/ark:/65665/39626e875-14e9-4b78-a7b1-3bed13dc509f",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"96","2014-08-25T11:00:30.000+0000","JBRJ","RB","RB00528010","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C. de Lima",NA,NA,NA,"Otavio",1914,11,14,"Brazil","Rio de Janeiro","Rio de Janeiro","Sacopan, Morro da Saudade.",NA,NA,"Árvore.","urn:catalog:JBRJ:RB:528010",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"99",NA,"US","Botany","2821036","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"57773",NA,"-- Octavio",1914,11,14,"Brazil",NA,NA,"Brasil, Estado da Guanabara, Sacopan, Morro da Saudade",NA,NA,NA,"http://n2t.net/ark:/65665/3c1dd7643-b063-469d-bdce-f102215f3b62",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"100",NA,"MN","R","8370","Piptadenia inaequalis Benth.",NA,"Fabaceae","Pseudopiptadenia","inaequalis","Benth.",NA,NA,"19110",NA,"Glaziou, A.F.M.",1884,2,17,"Brazil","Rio de Janeiro",NA,NA,NA,NA,"Plantas do Brasil Central","BRA:MN:R:0000008370",NA,"Piptadenia inaequalis Benth."
"101",NA,"MN","R","69261","Piptadenia inaequalis Benth.",NA,"Fabaceae","Pseudopiptadenia","inaequalis","Benth.",NA,NA,"8415",NA,"s.col.",1883,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,"Herb. J. de Saldanha","BRA:MN:R:0000069261",NA,"Piptadenia inaequalis Benth."
"102",NA,"MN","R","69258","Piptadenia inaequalis Benth.",NA,"Fabaceae","Pseudopiptadenia","inaequalis","Benth.",NA,NA,"13774",NA,"Glaziou, A.F.M.",1879,1,22,"Brazil","Rio de Janeiro",NA,NA,NA,NA,"Plantae Flum. Ex. Herb. Glaziou; Herb. J. de Saldanha, 7524","BRA:MN:R:0000069258",NA,"Piptadenia inaequalis Benth."
"103",NA,"US","Botany","1340388","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"s.n.",NA,"L. Riedel & B. Luschnath",1823,10,NA,"Brazil",NA,NA,"Brailia pr. Man [illegible text] [interpreted].",NA,NA,NA,"http://n2t.net/ark:/65665/37134f112-d71c-439e-a507-23c100e83211",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"104",NA,"NY","NY","459506","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"2015",NA,"L. Riedel",1823,10,NA,"Brazil","Rio de Janeiro",NA,"Pr. Mandioca",-43.184668,-22.564777,NA,"a6a45510-ab49-4f25-8535-ac682db5af92",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"105","2012-12-04T00:00:00.000+0000","K","Herbarium","K000849561","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"8441",NA,"Glaziou",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"Comm. M. Glaziou. Recd sept/1876","http://specimens.kew.org/herbarium/K000849561",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"106",NA,"MBM","MBM","105666","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"9967",NA,"Martinelli, G; et al.",NA,NA,NA,"Brazil","Rio de Janeiro","Magé","Paraíso",0,0,NA,"BRA:MBM:MBM:0000105666",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"107","2007-10-18T10:24:51.000+0000","K","Herbarium","K000504708","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"665",NA,"Riedel",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"Herbarium Benthamianum 1854; Herb. Acad. Petrop.  on sheet withK000504705  ""Mandiocca""","http://specimens.kew.org/herbarium/K000504708",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"108","2007-10-18T10:07:47.000+0000","K","Herbarium","K000504706","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"1386",NA,"[Pohl]",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"Herbarium Hookerianum 1867  Herb. Imp. Vien.  associated with K000504704","http://specimens.kew.org/herbarium/K000504706",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"109","2007-10-18T10:21:07.000+0000","K","Herbarium","K000504705","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"95",NA,"Riedel",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"Herbarium Benthamianum 1854; Hb, Mus. Petr.  on sheet withK000504708  ""Mandiocca""","http://specimens.kew.org/herbarium/K000504705",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"110",NA,"US","Botany","1690639","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"s.n.",NA,"Schott, --",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Tingua",NA,NA,NA,"http://n2t.net/ark:/65665/36c441696-f08c-48b0-b519-9c48be7e8759",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"111","2007-10-18T10:29:18.000+0000","K","Herbarium","K000504707","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"189",NA,"Riedel",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"Herbarium Benthamianum 1854; Hb, Mus. Petr. 1837  ""Mandiocca""","http://specimens.kew.org/herbarium/K000504707",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"114","2012-12-04T00:00:00.000+0000","K","Herbarium","K000849562","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"s.n.",NA,"Riedel",NA,NA,NA,"Brazil",NA,"Macaé",NA,NA,NA,"Recd Aug 1896","http://specimens.kew.org/herbarium/K000849562",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"115",NA,"MBM","MBM","105658","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"2293",NA,"Lima, HC de; Bromley, G",NA,NA,NA,"Brazil","Rio de Janeiro","Magé","Paraíso",0,0,NA,"BRA:MBM:MBM:0000105658",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"116",NA,"W","Herbarium W","0068105","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,NA,NA,"REFLORA provisional entry",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
