"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","fieldNumber","comments","bibliographicCitation"
"62",NA,"MN","R","68580","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Mesquita, A.L.","1986-11-01T00:00:00.000+0000",NA,NA,"Glaziou, A.F.M.",1895,9,16,"Brazil","Rio de Janeiro",NA,NA,NA,NA,"Herbier de J. de Saldanha","BRA:MN:R:0000068580","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"63","2014-09-19T11:48:58.000+0000","JBRJ","RB","RB00160732","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A.L. Mesquita",NA,NA,NA,"J.G. Kuhlmann",1892,9,24,"Brazil","Rio de Janeiro","Rio de Janeiro","Mundo Novo, Botafogo.",NA,NA,"Árvore de 5-6 mt. de altura; estames alvos.","urn:catalog:JBRJ:RB:160732","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"64",NA,"F","Botany","V0058090F","Enterolobium schomburgkii var. glaziovii Benth.","Fabaceae","Enterolobium","schomburgkii","glaziovii","var. glaziovii Benth.",NA,NA,"ISOLECTOTYPE","1148","A. F. M. Glaziou",1880,8,19,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"311d7e4a-5b9e-4f36-bc40-69b62c9731c6","Enterolobium schomburgkii var. glaziovii Benth.",NA,NA,NA,NA
"65","2018-05-09T10:59:14.000+0000","JBRJ","RB","RB00160688","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Mesquita",NA,NA,"11931","Glaziou, A.",1880,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Floreta da Tijuca.",NA,NA,NA,"urn:catalog:JBRJ:RB:160688","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"66",NA,"MBM","MBM","251399","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Mesquita, AL",NA,NA,"340","Angeli, C",NA,NA,NA,"Brazil","Guanabara","Rio de Janeiro","Estrada da Vista Chinesa",0,0,NA,"BRA:MBM:MBM:0000251399","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"67",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","65754","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"s.n.","Barreto, HLM",NA,NA,NA,"Brazil","Minas Gerais","Tombos",NA,0,0,NA,"BRA:UFMG:BHCB:0000065754","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"68","2013-02-06T00:00:00.000+0000","K","Herbarium","K000877383","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Mesquita, A.","1991-01-04T00:00:00.000+0000",NA,"11935","Glaziou",NA,NA,NA,"Brazil",NA,"Rio de Janeiro",NA,NA,NA,"Environs de Rio de Janeiro. M. Glaziou. Recd. Jan. 1881","http://specimens.kew.org/herbarium/K000877383","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"69","2014-07-08T04:35:17.000+0000","JBRJ","RB","RB00160726","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Mesquita","1990-04-24T00:00:00.000+0000",NA,"908","A. L. Mesquita; H. C. de Lima, J.C. Gomes",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Estrada que dá acesso à Vista Chinesa. .",NA,NA,"Árvore de 8m de altura; flores no final da época de floração; frutos verdes e maduros.","urn:catalog:JBRJ:RB:160726","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"70",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","122377","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H. C. de Lima",NA,NA,"656","C. Luchiari",NA,NA,NA,"Brazil","Rio de Janeiro","SILVA JARDIM","Reserva Biológica de Poço das Antas. Estrada para Juturnaíba, esquerda - K 4.",NA,NA,"Ambiente: Mata. Habito: Árvore, ca. 12m, heliófila","BRA:CEPLAC:CEPEC:0000122377","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"71",NA,"W","Herbarium W","2004-0011702","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,NA,"REFLORA provisional entry",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"72","2014-07-08T04:35:13.000+0000","JBRJ","RB","RB00160756","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","F. Bonadeu","2013-01-01T00:00:00.000+0000",NA,"909","A. L. Mesquita; H. C. de Lima, J. C. Gomes",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca.",NA,NA,"Árvore de 10m de altura, frutos verdes imaturos.","urn:catalog:JBRJ:RB:160756","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"73","2017-10-18T01:20:22.000+0000","JBRJ","RB","RB00160782","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Mesquita",NA,NA,NA,"Cor. Capanema (Freire Alemão)",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","D. F. .",NA,NA,NA,"urn:catalog:JBRJ:RB:160782","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"75",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","70124","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H. C. Lima",NA,NA,"63804","G. Hatschbach",NA,NA,NA,"Brazil","Mato Grosso","barra do bugres","Faz. Ochsenfeld.",NA,NA,"Ambiente: Mata. Habito: Árvore copada, 10m.","BRA:CEPLAC:CEPEC:0000070124","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
