"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"28",NA,"MBML","MBML-HERBARIO","7364","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","Haroldo Lima/junho-1995",NA,NA,"1126",NA,"L. D. Thomaz",1993,7,27,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia",-40.530278,-19.971389,"Altura 20m, PAP 82cm, caule interno creme.","BRA:MBML:MBML-HERBARIO:0000007364",NA,"Peltogyne angustiflora Ducke"
"29",NA,"UFES","VIES","14197","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","Lima, H.C. de",NA,NA,NA,NA,"Thomaz, L.D.",1993,7,23,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia.",NA,NA,"SW1940","BRA:UFES:VIES:0000014197",NA,"Peltogyne angustiflora Ducke"
"30",NA,"UEFS","HUEFS","199251","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke",NA,NA,NA,"1126",NA,"Thomaz, L.D.",1993,7,27,"Brazil","Espírito Santo","Santa Teresa","Estação Bilológica de Santa Lúcia (Mata Atlântica de encosta).",NA,NA,NA,"BRA:UEFS:HUEFS:0000199251",NA,"Peltogyne angustiflora Ducke"
"31","2017-10-19T11:28:41.000+0000","JBRJ","RB","RB00558600","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","H.C.de Lima",NA,NA,"4231",NA,"H.C.de Lima; et al.",1991,8,28,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Picada para a Serra Queimada.",-42.833333,-22.433333,"Arvore. Tronco com casca lisa, alvacenta. Frutos passados no chao. Ocasional em alguns grotões umidos","urn:catalog:JBRJ:RB:558600",NA,"Peltogyne angustiflora Ducke"
"32","2017-10-17T14:11:45.000+0000","JBRJ","RB","RB00559064","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","H.C.de Lima",NA,NA,"4337",NA,"H.C.de Lima; et al.",1991,11,21,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Serra Queimada, descida do Bananal do Meio, próx. cabana de caçvadores.",-42.833333,-22.433333,"Arvore. tronco com casca lisa com veios transversais, CAP 1,82 m. Botoes fulvo-tomentosos. Ocasional. Frutos passados no chao. Pequenas raizes tabulares na base.","urn:catalog:JBRJ:RB:559064",NA,"Peltogyne angustiflora Ducke"
"33",NA,"USP","SPF","194682","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","Lima, HC","1991-11-01T00:00:00.000+0000",NA,"4337",NA,"Lima, HC",1991,11,21,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual do Paraíso, Coordenadas: 22°26'00''S, 42°50'00''W / 22°32'00''S, 42°56'00''W.",0,0,NA,"BRA:USP:SPF:0000194682",NA,"Peltogyne angustiflora Ducke"
"34",NA,"UNICAMP","UEC","65978","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke",NA,NA,NA,"400",NA,"Farias, G.L.",1990,9,28,"Brazil","Espírito Santo","Linhares","Reserva Florestal CVRD, Est. BABA DE BOI, ant. 161-A6, KM 1,505, lado dir.",0,0,"Árvore em Floresta Alta, + ou - 28m de altura e fuste de + ou - 16m, DAP 56,4 cm, de copa + ou - 8m. Com fruto maduro de cor verde. Fuste cilíndrico e casca áspera.","BRA:UNICAMP:UEC:0000065978",NA,"Peltogyne angustiflora Ducke"
"35",NA,"UNICAMP","UEC","193598","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","Pinto, R.B.","2014-10-15T00:00:00.000+0000",NA,"400",NA,"Farias, G.L.",1990,9,28,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Próxima da Vermelinha, Matriz 03.",0,0,"Arbóreo. Terrestre. Fruto maduro verde. Seiva incolor. Descamação em ripas. Fuste cilíndrico. Casca áspera. 28 m de alt. Altura do fuste 16m, CAP do fuste 177,19. Diâmetro da copa 8m.; Mata de tabuleiro","BRA:UNICAMP:UEC:0000193598",NA,"Peltogyne angustiflora Ducke"
"36",NA,"Reserva Natural Vale (CVRD)","CVRD","2919","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","Rafael B. Pinto","2014-10-15T00:00:00.000+0000",NA,"400",NA,"Farias, G.L.",1990,9,28,"Brazil","Es","LINHARES","Próxima da Vermelhinha, Matriz 03",NA,NA,"Revisado por: R.B. Pinto 15-X-2014 <ll>dwc_commonname:</ll> Roxinho","BRA:CVRD:CVRD:0000002919",NA,"Peltogyne angustiflora Ducke"
"37","2017-11-19T08:47:34.000+0000","JBRJ","RB","RB00897704","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","R.B. Pinto","2014-10-15T00:00:00.000+0000",NA,"400",NA,"G.L. Farias",1990,9,28,"Brazil","Espírito Santo","Linhares","Proxima  da  vermelhinha  matriz  03;  estrada  baba  de  boi.",NA,NA,"Arbóreo de 28m alt; fuste 16 m; diam copa 8m; fruto maduro verde","urn:catalog:JBRJ:RB:897704",NA,"Peltogyne angustiflora Ducke"
"38",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","45666","Peltogyne angustiflora Ducke",NA,"Fabaceae","Peltogyne","angustiflora","Ducke","H. C. de Lima",NA,NA,"750",NA,"F. S. Santos",1987,12,8,"Brazil","Bahia","SANTA CRUZ CABRÁLIA","Area da ESPAB. Arboreto, quadra n. 106.",-39.133333,-16.383333,"Ambiente: Mata Higrofila. Habito: Árvore menor que 5m","BRA:CEPLAC:CEPEC:0000045666",NA,"Peltogyne angustiflora Ducke"
