"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"57","2008-05-27T22:02:00.000+0000","MO","MO","3190857","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","H. Lima","1986-01-01T00:00:00.000+0000",NA,"Hatschbach 48171",NA,"Gert G. Hatschbach",1984,9,13,"Brazil","Minas Gerais",NA,"Ligacao Rod. BR-116 a Divisopolis (mun. Pedra Azul)",NA,NA,NA,"urn:catalog:MO:Tropicos:3190857","http://www.tropicos.org/Specimen/3190857","Diplotropis ferruginea Benth."
"58","2014-07-22T09:07:16.000+0000","JBRJ","RB","RB00175505","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","G.P.LEWIS","1985-11-20T00:00:00.000+0000",NA,"6255",NA,"M.C.H.MAMEDE; R.M.HARLEY, A.M.GIULIETTI & B.STANNARD",1984,11,20,"Brazil","Minas Gerais","Diamantina","MARGEM DA ESTR. DIAMANTINA - EXTRAÇÃO, CERCA DE 2 KM DA CIDADE.",NA,NA,"ÁRVORE 12-15 ALT. FOLHAS CORIÁCEAS, FRUTOS VERDE-AMARELADOS","urn:catalog:JBRJ:RB:175505",NA,"Diplotropis ferruginea Benth."
"59","2013-02-27T00:00:00.000+0000","K","Herbarium","K000892802","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","Lewis, G.P.; Swani, B.","1985-11-20T00:00:00.000+0000",NA,"CFCR 6255",NA,"Stannard, B.; Giulietti, A.M.; Mamede, M.C.H.; Harley, R.M.",1984,11,20,"Brazil",NA,"Diamantina","Margem da Estrada Diamantina - Extraçao, cerca de 2km da cidade.",NA,NA,"Flora de Campos Rupestres","http://specimens.kew.org/herbarium/K000892802",NA,"Diplotropis ferruginea Benth."
"60",NA,"USP","SPF","35857","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","Lewis, GP","1986-01-01T00:00:00.000+0000",NA,"CFCR6255",NA,"Mamede, MCH",1984,11,20,"Brazil","Minas Gerais","Diamantina",NA,0,0,NA,"BRA:USP:SPF:0000035857",NA,"Diplotropis ferruginea Benth."
"61",NA,"USP","SPF","20996","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","Pirani, JR","1989-01-01T00:00:00.000+0000",NA,"CFCR2199",NA,"Giulietti, AM",1981,10,29,"Brazil","Minas Gerais","Diamantina",NA,0,0,NA,"BRA:USP:SPF:0000020996",NA,"Diplotropis ferruginea Benth."
"62","2013-02-27T00:00:00.000+0000","K","Herbarium","K000892805","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.",NA,NA,NA,"CFCR 2199",NA,"Fyrlan, A.; Giulietti, A.M.; Pirani, J.R.; Cordeiro, I.; Rossi, L.; Menezes, N.L.; Hensold, N.",1981,10,29,"Brazil",NA,NA,"Estrada Diamantina - Extração, a 9km de Diamantina. Perto da Gruta Nossa Senhora de Lourdes.",NA,NA,"[Sheet 2/2; Multiple sheets K000892804] Sheet 1. Flora de Campos Rupestres. Departamento de Botânica.","http://specimens.kew.org/herbarium/K000892805",NA,"Diplotropis ferruginea Benth."
"63","2013-02-27T00:00:00.000+0000","K","Herbarium","K000892804","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.",NA,NA,NA,"CFCR 2199",NA,"Fyrlan, A.; Giulietti, A.M.; Pirani, J.R.; Cordeiro, I.; Rossi, L.; Menezes, N.L.; Hensold, N.",1981,10,29,"Brazil",NA,NA,"Estrada Diamantina - Extração, a 9km de Diamantina. Perto da Gruta Nossa Senhora de Lourdes.",NA,NA,"[Sheet 1/2; Multiple sheets K000892805] Sheet 2","http://specimens.kew.org/herbarium/K000892804",NA,"Diplotropis ferruginea Benth."
"64","2013-02-27T00:00:00.000+0000","K","Herbarium","K000892803","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","Pirani, J.R.",NA,NA,"CFCR2199",NA,"Fyrlan, A.; Giulietti, A.M.; Pirani, J.R.; Cordeiro, I.; Rossi, L.; Menezes, N.L.; Hensold, N.",1981,10,29,"Brazil",NA,"Diamantina","Estrada Diamantina - Extração, a 9km de Diamantina. Perto da Gruta Nossa Senhora de Lourdes.",NA,NA,"Flora de Campos Rupestres","http://specimens.kew.org/herbarium/K000892803",NA,"Diplotropis ferruginea Benth."
"65",NA,"USP","SPF","21709","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","Lewis, GP","1989-01-01T00:00:00.000+0000",NA,"CFCR198",NA,"Menezes, NL",1980,7,19,"Brazil","Minas Gerais","Diamantina",NA,0,0,NA,"BRA:USP:SPF:0000021709",NA,"Diplotropis ferruginea Benth."
"66","2013-02-27T00:00:00.000+0000","K","Herbarium","K000892797","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","Lewis, G.P.","1989-10-20T00:00:00.000+0000",NA,"CFCR 198",NA,"Pirani, J.R.; Furlan, A.; Castro, N.M.; Menezes, N.L.; Semir, J.",1980,7,19,"Brazil",NA,NA,"Diamantina-Curralinho (Estração) a 8kms de Diamantina. Perto da Pedreira.",NA,NA,NA,"http://specimens.kew.org/herbarium/K000892797",NA,"Diplotropis ferruginea Benth."
