"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"11",NA,NA,"Botany","3108536","Peltogyne campestris Huber ex Ducke",NA,"Fabaceae","Peltogyne","campestris",NA,"Huber ex Ducke","Grimes, J. W.","",NA,"7805",NA,"C. A. Cid Ferreira",1988,8,19,"brazil","Pará","","Rio mapuera margem esquerda.",-57.1167,-1.0833,"","Peltogyne campestris Huber ex Ducke",NA,"original coordinates outside municipality original in  falls in oriximina","GBIF"
"12",NA,NA,"NY","1135670","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"Fabaceae","Peltogyne","campestris",NA,"var. rigida (Ducke) M.F.Silva","J. W. Grimes","1991-11-01",NA,"9268",NA,"C. A. Cid Ferreira",1987,8,28,"brazil","Roraima","","Estrada Manaus-CaracaraÃ­, Km 396.",-60.521965,0.305298,"","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"original coordinates outside municipality original in  falls in rorainopolis","GBIF"
"13",NA,NA,"Herbarium","K000834134","Peltogyne campestris Huber ex Ducke",NA,"Fabaceae","Peltogyne","campestris",NA,"Huber ex Ducke","Grimes, J.","",NA,"9268",NA,"Ramos, J.; Ferreira, C.A.C.; Coelho, J.A.; Batista, E.",1987,8,28,"brazil","","","São Luiz do Anauã. Estrada Manaus-Caracaraí Km 396.",-60.67,-1.5,"Projeto Flora Amazônica.","Peltogyne campestris Huber ex Ducke",NA,"original coordinates outside municipality original in  falls in novo airao","GBIF"
"14",NA,NA,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","165492","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"Fabaceae","Peltogyne","campestris",NA,"var. rigida (Ducke) M.F.Silva","Silva, M.F.F. da","2005-05-01",NA,"5430",NA,"",1987,10,15,"brazil","Amazonas","","Morro dos Seis Lagos.",-66.7,-3.6528,"","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"original coordinates outside municipality original in  falls in jurua","GBIF"
"15",NA,NA,"RB","RB00204583","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"Fabaceae","Peltogyne","campestris",NA,"var. rigida (Ducke) M.F.Silva","F.J.KOCHANOVSKI","",NA,"1769",NA,"C. Farney; D. Stevenson, P. Maas, R. P. de Lima, J. Ramos, A. M. Neto",1987,10,22,"brazil","Amazonas","São Gabriel da Cachoeira","Vista Alegre, margem do Rio Negro próx. ao Xié.",-67.2,0.916667,"Árvore, 18m, caducifolia, folhas discolores verdes, inflorescência c/ raque verde, flores c/ brácteas verdes, cálice verde amarelado, corola alva, estames c/ filetes alvo-amarelados, anteras amareladas, estigma amarelado. Amostra de madeira. Flores em FAA.","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"original coordinates OK","GBIF"
"16",NA,NA,"RB","RB00146305","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"Fabaceae","Peltogyne","campestris",NA,"var. rigida (Ducke) M.F.Silva","F.J.KOCHANOVSKI","",NA,"1898",NA,"C. Farney; et al",1987,11,5,"brazil","Amazonas","São Gabriel da Cachoeira","Rio Içcna, prox. a Serra do Grilo.",-67.998749,0.374972,"Árvore; 18m; folhas discolores verdes, subcoriáceas inflorescência com raque castanhos; flores com pedicelo e cálice verde claros, flores amarelo/esverdeadas, estames com filetes alvacentos.","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"centroide mpo OK","GBIF"
"17",NA,NA,"Herbarium","K000834136","Peltogyne campestris Huber ex Ducke",NA,"Fabaceae","Peltogyne","campestris",NA,"Huber ex Ducke","Grimes, J.","",NA,"7805",NA,"et al.; Ferreira, C.A.C.",1986,8,19,"brazil","","Oriximiná","Rio Mapuera, margem esquerda. Campina das 3 ilhas a 4 Km da margem do rio.",-57.12,-1.08,"Projeto Flora Amazônica - Convênio CNPq - NSF - INPA / MPEG / New York Botanical Garden","Peltogyne campestris Huber ex Ducke",NA,"original coordinates OK","GBIF"
"18",NA,NA,"HST","8896","Peltogyne campestris var. campestris",NA,"Fabaceae","Peltogyne","campestris",NA,"var. campestris","W.Silva","1990-05-24",NA,"7805",NA,"C.A.Cid Ferreira; et al.",1986,8,19,"brazil","Pará","Oriximinã","Rio Mapuera margem esquerda. Campina das 3 Ilhas a 4 Km da margem do rio.",-57.149597,0.25489,"Arbusto ramificado de 5m alt. Flores c/sépalas esverdeadas, pétalas e estames brancos,botões esverdeados. Frutos imaturos verde-avermelhados","Peltogyne campestris var. campestris",NA,"centroide mpo OK","GBIF"
"19",NA,NA,"MO","3254771","Peltogyne campestris Huber ex Ducke",NA,"Fabaceae","Peltogyne","campestris",NA,"Huber ex Ducke","J. Grimes, 9/","1988-01-01",NA,"Cid Ferreira 7805",NA,"C.A. Cid Ferreira|et al.",1986,8,19,"brazil","Pará","","Rio Mapuera margem esquerda. Campina das 3 IIhas a 4 km da margem do rio. Campina aberta, solo arenoso branco.",-57.116667,1.083333,"","Peltogyne campestris Huber ex Ducke",NA,"original coordinates outside municipality original in  falls in oriximina","GBIF"
"20",NA,NA,"MO","3257786","Peltogyne campestris Huber ex Ducke",NA,"Fabaceae","Peltogyne","campestris",NA,"Huber ex Ducke","J. Grimes","1997-01-01",NA,"Silva 341",NA,"J.A. Silva",1985,7,26,"brazil","Amazonas","","Mun. Barcelos, rio Aracã a 20 hrs. de Barcelos, na beira do rio Araca.",-63.17361,0.00833,"","Peltogyne campestris Huber ex Ducke",NA,"original coordinates outside municipality original in  falls in barcelos","GBIF"
