"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"135","2015-11-27T00:00:00.000+0000","K","Herbarium","K001202975","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"212",NA,"Pacheco, M.",NA,NA,NA,"Brazil",NA,"Manaus","Distrito Agropecuário , Fazenda Porto Alege, Reserva 3304 of the WWF/INPA MCS project.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001202975",NA,"Quiina negrensis A.C.Sm."
"136","2015-11-27T00:00:00.000+0000","K","Herbarium","K001202974","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"1471",NA,"Ducke, A.",NA,NA,NA,"Brazil",NA,"Manaus",NA,NA,NA,NA,"http://specimens.kew.org/herbarium/K001202974",NA,"Quiina negrensis A.C.Sm."
"137",NA,"NY","NY","03136988","Quiina duckei Pires",NA,"Quiinaceae","Quiina","duckei","Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"46fb2353-715d-4af5-8312-dba2e70320d0",NA,"Quiina duckei Pires"
"138",NA,"NY","NY","02474236","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"54447163-4e67-45f5-b759-02a706cabf01",NA,"Quiina negrensis A.C.Sm."
"139","2015-11-27T00:00:00.000+0000","K","Herbarium","K001202970","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"766",NA,"Costa, M.A.S.",NA,NA,NA,"Brazil",NA,"Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001202970",NA,"Quiina negrensis A.C.Sm."
"140",NA,"UNEMAT","HERBAM","2553","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Rocha Filho, JA; Hase, L; Assunção, PACL",NA,NA,"10b",NA,"Rocha Filho, JA; Assunção, PACL; Hase, L",NA,NA,NA,"Brazil","Mato Grosso","Paranaíta","UHE Teles Pires",0,0,"UHE Teles Pires (EIA)","BRA:UNEMAT:HERBAM:0000002553",NA,"Quiina negrensis A.C.Sm."
"141",NA,"NY","NY","3137166","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"088c6c86-c205-4e30-9892-d1dd09286cc3",NA,"Quiina negrensis A.C.Sm."
"142","2015-11-27T00:00:00.000+0000","K","Herbarium","K001202967","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"24299",NA,"Prance, G.T.",NA,NA,NA,"Brazil",NA,NA,"Santo Antonio de Abonari, Manaus-Caracarai, km 220.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001202967",NA,"Quiina negrensis A.C.Sm."
"143","2015-11-27T00:00:00.000+0000","K","Herbarium","K001202973","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"322",NA,"Ducke",NA,NA,NA,"Brazil",NA,"Manaus","Estrada do Aleixo.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001202973",NA,"Quiina negrensis A.C.Sm."
"144",NA,"NY","NY","3137168","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"b371e305-802a-4027-a721-2e4664eff928",NA,"Quiina negrensis A.C.Sm."
