"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","bibliographicCitation","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","new_Lat","new_Lon"
"22",NA,"Universidade Regional do Cariri (URCA)","HCDAL","1287","Vanillosmopsis arborea (Gardn.) Baker","Asteraceae","Eremanthus","arborea","(Gardn.) Baker","Lima-Verde, L.W.","1999-09-28T00:00:00.000+0000",NA,"HCDAL1287",NA,"Barros, J.M.; Silva, M.A.P.",1999,7,8,"brazil","ceara","crato","Belmonte, Região do Cariri.",0,0,"Arbusto ca. de 3m de altura; solo areno-argiloso.","BRA:URCA:HCDAL:0000001287","Vanillosmopsis arborea (Gardn.) Baker",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"23",NA,"UEFS","HUEFS","144878","Vanillosmopsis arborea (Gardn.) Baker","Asteraceae","Eremanthus","arborea","(Gardn.) Baker","L.W.Lima-Verde","1999-10-01T00:00:00.000+0000",NA,"1602",NA,"Lima-Verde, L.W.",1999,8,12,"brazil","ceara","crato","Flona do Araripe.",NA,NA,"Floresta ombrófila.","BRA:UEFS:HUEFS:0000144878","Vanillosmopsis arborea (Gardn.) Baker",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"24",NA,"UNICAMP","UEC","26044","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Loeuille, B.F.P.","2011-01-01T00:00:00.000+0000",NA,"1049",NA,"Schumacher, H.",1999,8,31,"brazil","ceara","crato","in Richtung Nova Olinda",0,0,NA,"BRA:UNICAMP:UEC:0000026044","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"25",NA,"Universidade Federal do Ceará, UFC","EAC","28385","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"520",NA,"Cavalcanti, F.S.",1999,8,4,"brazil","ceara","crato","Chapada do Araripe, subida do Belmonte, substrato pedregoso.",0,0,"Arvoreta, flor lilás.","BRA:UFC:EAC:0000028385","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"26",NA,"Universidade Federal do Ceará, UFC","EAC","28532","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"581",NA,"Cavalcanti, F.S.",1999,10,5,"brazil","ceara","crato","Farias.",0,0,"Arvoreta; flor lilás; fruto marrom.","BRA:UFC:EAC:0000028532","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"27",NA,"Universidade Federal do Ceará, UFC","EAC","27302","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"s.n.",NA,"Cavalcanti, F.S.",1999,11,10,"brazil","ceara","crato","Ch. do Araripe, Flona, Beija Moça",0,0,"Arvoreta, flor verde (em botão)","BRA:UFC:EAC:0000027302","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"28",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","48582","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Loeuille, B.F.P.","2014-05-23T00:00:00.000+0000",NA,"13579",NA,"Lima, D.",1998,8,20,"brazil","ceara","crato","Floresta Nacional do Araripe, foi coletada a mais ou menos 800m do fruto E-2.",NA,NA,"árvore, flores arroxeadas com perfume meio enjoativo, frequentada por abelhas, 7m altura. 12cm de diâmetro. Intensa floração.","BRA:UFSC:FLOR:0000048582","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"29",NA,"UFRPE","PEUFR","28631","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","B. Leonille","2015-04-01T00:00:00.000+0000",NA,"1258",NA,"A. Laurênio; M.C. Tschá; M.I.B. Loiola; V. Santos",1998,8,31,"brazil","ceara","crato",NA,NA,NA,"Arbusto cerca de 2 m de altura; papus creme","BRA:UFRPE:PEUFR:0000028631","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"30",NA,"Universidade Federal do Ceará, UFC","EAC","27190","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"457",NA,"Cavalcanti, F.S.",1998,11,17,"brazil","ceara","crato","Chapada do Araripe, subida do Belmonte",0,0,"Arbusto; flor lilás, papus com aparência de algodão.; Encosta da chapada.","BRA:UFC:EAC:0000027190","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"31",NA,"Universidade Federal do Ceará, UFC","EAC","24979","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","Roque, N.","2016-11-01T00:00:00.000+0000",NA,"378",NA,"Cavalcanti, F.S.",1997,5,27,"brazil","ceara","crato","Chapada do Araripe, subida do Belmonte",0,0,"Arvoreta; flor alvacenta.; Encosta da chapada.","BRA:UFC:EAC:0000024979","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
"32",NA,"Universidade Federal Rural de Pernambuco, UFRPE","HST","6938","Eremanthus arboreus (Gardner) MacLeish","Asteraceae","Eremanthus","arboreus","(Gardner) MacLeish","J.Semir","1997-01-01T00:00:00.000+0000",NA,"s.n.",NA,"A.M.Miranda; L.P.Félix, M.F.O.Pires, S.Pitrez et M.Souza",1997,7,30,"brazil","ceara","crato","subida para o Lameiro",NA,NA,"Arbusto ca. 3,50 m alt.; caule amarronzado; inflorescência creme.","BRA:UFRPE:HST:0000006938","Eremanthus arboreus (Gardner) MacLeish",NA,NA,NA,NA,4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.6179021,-5.09146429,-7.232947,-39.490026
