"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"56",NA,"UEFS","HUEFS","38248","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","D.J.P.Gonçalves & G.H.Shimizu","2014-07-01T00:00:00.000+0000",NA,"50997",NA,"Laessoe, T.",1992,3,2,"Brazil","Bahia","Abaíra","Mata da Pedra Grande.",-41.9,-13.25,"Na mata, entre rochas.","BRA:UEFS:HUEFS:0000038248",NA,"Vochysia laurifolia Warm."
"57",NA,"NY","NY","1921142","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.",NA,NA,NA,"s.n.",NA,"O. J. S'Amor",1992,3,3,"Brazil","Rio de Janeiro",NA,"SÃ­tio Rio Papudo.",0,0,NA,"1e204630-6750-441a-9b47-a53d55d08cab",NA,"Vochysia laurifolia Warm."
"58",NA,"UNICAMP","UEC","181281","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Vianna, M.C.","1993-01-01T00:00:00.000+0000",NA,"4176",NA,"Pereira, O.J.",1992,11,25,"Brazil","Espírito Santo","Conceição da Barra","Área 100 da Aracruz Celulose S.A.",-40.222778,-18.9925,"Planta com 15m de altura. Flor amarelada.; Restinga. Mata periodicamente inundada.","BRA:UNICAMP:UEC:0000181281",NA,"Vochysia laurifolia Warm."
"59",NA,"UFES","VIES","7555","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Vianna, M.C.","1905-06-15T00:00:00.000+0000",NA,"4176",NA,"Pereira, O.J.",1992,11,25,"Brazil","Espírito Santo","Conceição da Barra","Área 100 da Aracruz Celulose S.A.",NA,NA,"SW1839","BRA:UFES:VIES:0000007555",NA,"Vochysia laurifolia Warm."
"60",NA,"Reserva Natural Vale (CVRD)","CVRD","3582","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Maria Célia Vianna","2000-06-26T00:00:00.000+0000",NA,"252",NA,"Souza, V.D.",1991,11,19,"Brazil","Ba","PORTO SEGURO","Lado direito da entrada da mata, 10m do aceiro da CEPLAC. 100m do asfalto.",NA,NA,"<ll>dwc_commonname:</ll> Angélica do brejo","BRA:CVRD:CVRD:0000003582",NA,"Vochysia laurifolia Warm."
"61",NA,"Reserva Natural Vale (CVRD)","CVRD","3606","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Maria Célia Vianna","2000-06-26T00:00:00.000+0000",NA,"272",NA,"Souza, V.D.",1991,11,28,"Brazil","Es","LINHARES","Árvore à beira do brejo, Córrego alberíco.",NA,NA,"<ll>dwc_commonname:</ll> Angélica do brejo","BRA:CVRD:CVRD:0000003606",NA,"Vochysia laurifolia Warm."
"62",NA,"Cenargen","CEN","57613","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","G. H. Shimizu",NA,NA,"252",NA,"V. de Souza - Pau-Brasil",1991,11,19,"Brazil","Ba","PORTO SEGURO","Lado direito da entrada da mata, 10 m do aceiro da CEPLAC, 100 m do asfalto.",NA,NA,"Doação do Banco Genético do Pau Brasil. Registro nº 521. Coleção de Referência. EMBRAPA, CEPLAC, VERACEL.","BRA:Cenargen:CEN:0000057613",NA,"Vochysia laurifolia Warm."
"63",NA,"UNICAMP","UEC","157387","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Vianna, M.C.","2000-06-26T00:00:00.000+0000",NA,"272",NA,"Souza, V.",1991,11,28,"Brazil","Espírito Santo","Linhares",NA,0,0,NA,"BRA:UNICAMP:UEC:0000157387",NA,"Vochysia laurifolia Warm."
"64",NA,"Cenargen","CEN","57375","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","G. H. Shimizu",NA,NA,"856",NA,"Domingos Antônio Folli",1989,1,10,"Brazil","Ba","PORTO SEGURO","Próximo a BR-101.",NA,NA,"Aceiro com CEPLAC. Doação do Banco Genético do Pau Brasil. Registro nº 520. Coleção de Referência. EMBRAPA, CEPLAC, VERACEL.","BRA:Cenargen:CEN:0000057375",NA,"Vochysia laurifolia Warm."
"65",NA,"Reserva Natural Vale (CVRD)","CVRD","2154","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Maria Célia Vianna","2000-06-26T00:00:00.000+0000",NA,"856",NA,"Folli, D.A.",1989,1,10,"Brazil","Ba","PORTO SEGURO","Próximo a BR.101",NA,NA,"<ll>dwc_commonname:</ll> Angélica do brejo","BRA:CVRD:CVRD:0000002154",NA,"Vochysia laurifolia Warm."
"66",NA,"Reserva Natural Vale (CVRD)","CVRD","2085","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Maria Célia Vianna","1990-04-09T00:00:00.000+0000",NA,"813",NA,"Folli, D.A.",1988,10,27,"Brazil","Ba","PORTO SEGURO","Nome vulgar na RFL: Angelica do brejo.",NA,NA,"<ll>dwc_commonname:</ll> Angélica do brejo","BRA:CVRD:CVRD:0000002085",NA,"Vochysia laurifolia Warm."
"67",NA,"Cenargen","CEN","57354","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","G. H. Shimizu",NA,NA,"813",NA,"Domingos Antônio Folli",1988,10,27,"Brazil","Ba","PORTO SEGURO",NA,NA,NA,"Aceiro com CEPLAC. Nome vulgar na RFL: Angélica do brejo. Doação do Banco Genético do Pau Brasil. Registro nº 519. Coleção de Referência. EMBRAPA, CEPLAC, VERACEL.","BRA:Cenargen:CEN:0000057354",NA,"Vochysia laurifolia Warm."
"68",NA,"UFU","HUFU","25790","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Vianna, M.C.","1991-01-01T00:00:00.000+0000",NA,"s.n.",NA,"Krieger, P.L.; et al.",1988,12,17,"Brazil","Minas Gerais","Caparaó","Parque Nacional do Caparaó, Córrego do Inácio.",0,0,"Árvore alta com flores amarelas.; Mata.","BRA:UFU:HUFU:0000025790",NA,"Vochysia laurifolia Warm."
"69",NA,"MBM","MBM","167677","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Kawasaki, ML",NA,NA,"26545",NA,"Harley, RM; et al.",1988,12,1,"Brazil","Bahia","Água Quente","Pico das Almas, vertente norte",0,0,NA,"BRA:MBM:MBM:0000167677",NA,"Vochysia laurifolia Warm."
"70",NA,"MBM","MBM","255382","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Vianna, MC",NA,NA,"23336",NA,"Krieger, L; et al.",1988,12,17,"Brazil","Minas Gerais","Caparaó","Parque Nacional do Caparaó, Córrego do Inácio",0,0,NA,"BRA:MBM:MBM:0000255382",NA,"Vochysia laurifolia Warm."
"71",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA072818","Vochysia laurifolia Warm.","Vochysiaceae","Vochysia","laurifolia",NA,"Warm.","Vianna, M.C.","1991-01-01T00:00:00.000+0000",NA,"CESJ 23336",NA,"Krieger, L. et al.",1988,12,17,"Brazil","Minas Gerais",NA,"Parque Nacional do Caparaó",NA,NA,NA,"BRA:ESALQ:ESA:0ESA072818",NA,"Vochysia laurifolia Warm."
