"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments","FID","new_Lat","new_Lon","notes"
"75",NA,"MN","R","7553","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Lisboa, M.","2000-08-07T00:00:00.000+0000",NA,"12664",NA,"Glaziou, A.F.M.",1881,10,14,"brazil","rio de janeiro","nova friburgo",NA,NA,NA,"Plantas do Brasil Central","BRA:MN:R:0000007553",NA,"Qualea selloi Warm.",NA,NA,1598,-22.319613,-22.319613,"centroide mpo"
"76",NA,"MN","R","7554","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Lisboa, M.","2000-08-07T00:00:00.000+0000",NA,"12664 a",NA,"Glaziou, A.F.M.",1881,11,17,"brazil","sao paulo",NA,NA,NA,NA,"Plantas do Brasil Central","BRA:MN:R:0000007554",NA,"Qualea selloi Warm.",NA,NA,NA,-22.26440593,-22.26440593,"centroide estado"
"77","2015-09-05T04:36:40.000+0000","MNHN","P","P04660161","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.",NA,NA,NA,NA,"42","Claussen",1849,1,1,"brazil","minas gerais",NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p04660161",NA,"Qualea selloi Warm.",NA,NA,NA,-18.45539008,-18.45539008,"centroide estado"
"78",NA,"UPS","BOT","V-588209","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Shimizu, G.H.","2012-01-01T00:00:00.000+0000",NA,NA,NA,"Johan Fredrik Widgren",1845,NA,NA,"brazil",NA,NA,NA,NA,NA,"Se Widgren, Förteckning växter samlade i Brasilien n. 1077","UPS:BOT:V-588209",NA,"Qualea selloi Warm.",NA,NA,NA,NA,NA,"no coordinates, municipality or state provided"
"79",NA,"W","Herbarium W","1889-0225300A","Qualea selloi subsp. pubescens Stafleu","Vochysiaceae","Qualea","selloi","pubescens","subsp. pubescens Stafleu","F. A. Stafleu (U) 1950",NA,NA,NA,NA,"Clausen,P.C.D.",1840,NA,NA,"brazil",NA,NA,"Brasilia, Minas Geraes.",NA,NA,NA,NA,NA,"Qualea selloi subsp. pubescens Stafleu",NA,NA,NA,NA,NA,"no coordinates, municipality or state provided"
"80","2015-09-05T04:36:40.000+0000","MNHN","P","P04660157","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.",NA,NA,NA,NA,"C2 1193","Saint-Hilaire",1816,1,1,"brazil","sao paulo",NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p04660157",NA,"Qualea selloi Warm.",NA,NA,NA,-22.26440593,-22.26440593,"centroide estado"
"81","2015-03-25T00:00:00.000+0000","K","Herbarium","K001076907","Qualea selloi subsp. pubescens Stafleu","Vochysiaceae","Qualea","selloi","pubescens","subsp. pubescens Stafleu","Stafleu, F.A.",NA,NA,"C2/1193",NA,"Saint-Hilaire, A.F.C.P.",1816,1,1,"brazil",NA,NA,".",NA,NA,NA,"http://specimens.kew.org/herbarium/K001076907",NA,"Qualea selloi subsp. pubescens Stafleu",NA,NA,NA,NA,NA,"no coordinates, municipality or state provided"
"82",NA,"US","Botany","288627","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.",NA,NA,"LECTOTYPE","34b",NA,"F. Sellow",NA,NA,NA,"brazil",NA,NA,"[This is a collection event record attached to numerous Sellow specimens from Brazil without collection date or locality. Do not modify.]",NA,NA,NA,"http://n2t.net/ark:/65665/33e82e6a1-7525-4a20-9012-67d0a2f4b2a1",NA,"Qualea selloi Warm.",NA,NA,NA,NA,NA,"no coordinates, municipality or state provided"
"83","2015-09-04T16:23:45.000+0000","MNHN","P","P00733862","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Stafleu",NA,"ISOTYPE",NA,"346","Sellow, F.",NA,NA,NA,"brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733862",NA,"Qualea selloi Warm.",NA,NA,NA,NA,NA,"no coordinates, municipality or state provided"
"84",NA,"F","Botany",NA,"Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.",NA,NA,"HOLOTYPE","346",NA,"F. Sellow",NA,NA,NA,"brazil",NA,NA,NA,-52.8731,-10.8339,NA,"24234c5a-52b7-43a8-a85b-fd7e6c5fe5d5",NA,"Qualea selloi Warm.",NA,NA,NA,-10.8339,-52.8731,"original coordinates"
"85",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","60648","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,"brazil","minas gerais","patrocinio",NA,0,0,NA,"BRA:UFMG:BHCB:0000060648",NA,"Qualea selloi Warm.",NA,NA,2640,-18.971217,-47.051359,"centroide mpo (0)"
"86",NA,"NY","NY","1016","Qualea selloi subsp. selloi","Vochysiaceae","Qualea","selloi","selloi","subsp. selloi",NA,NA,"ISOLECTOTYPE","[346]",NA,"F. Sellow",NA,NA,NA,"brazil","sao paulo",NA,NA,0,0,NA,"a413c5ca-c8ea-4cf1-b277-1f1e99a7a801",NA,"Qualea selloi subsp. selloi",NA,NA,NA,-22.26440593,-48.72944932,"centroide estado (0)"
"87","2015-01-06T00:00:00.000+0000","K","Herbarium","K001076908","Qualea selloi subsp. pubescens Stafleu","Vochysiaceae","Qualea","selloi","pubescens","subsp. pubescens Stafleu","Stafleu, F.A.",NA,NA,"s.n.",NA,"Claussen, P.",NA,NA,NA,"brazil",NA,NA,".",NA,NA,"Herbarium Benthamianum, 1854.","http://specimens.kew.org/herbarium/K001076908",NA,"Qualea selloi subsp. pubescens Stafleu",NA,NA,NA,NA,NA,"no coordinates, municipality or state provided"
"88",NA,"F","Botany","V0326324F","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","RRC ID Flag","1985-01-01T00:00:00.000+0000",NA,"6230","6230","N. D. da Cruz",NA,NA,NA,"brazil","minas gerais",NA,NA,-44,-18,NA,"be4fb8fa-21ca-4acd-9d39-a52f236818b0",NA,"Qualea selloi Warm.",NA,NA,NA,-18,-44,"original coordinates"
"89",NA,NA,"Botany","U  0007135","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","Stafleu FA",NA,"ISOTYPE",NA,NA,"Sello F",NA,NA,NA,"brazil","sao paulo",NA,"Sao Paulo",-46.633333,-23.55,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200007135",NA,"Qualea selloi Warm.",NA,NA,NA,-23.55,-46.633333,"original coordinates"
"90","2015-01-06T00:00:00.000+0000","K","Herbarium","K001076906","Qualea selloi subsp. pubescens Stafleu","Vochysiaceae","Qualea","selloi","pubescens","subsp. pubescens Stafleu","Stafleu, F.A.",NA,NA,"119",NA,"Claussen, P.",NA,NA,NA,"brazil",NA,NA,".",NA,NA,"Herbarium Benthamianum 1854. Aug.-April","http://specimens.kew.org/herbarium/K001076906",NA,"Qualea selloi subsp. pubescens Stafleu",NA,NA,NA,NA,NA,"no coordinates, municipality or state provided"
"91","2017-10-19T07:53:55.000+0000","JBRJ","RB","RB00457722","Qualea selloi Warm.","Vochysiaceae","Qualea","selloi",NA,"Warm.","G.H. Shimizu",NA,NA,"4348",NA,"Ruy J. Válka Alves",NA,NA,NA,"brazil","minas gerais",NA,"Serra de São José.",NA,NA,"Arbol 5 maltus in sylvis; floribus terminalibus labellaque albo-rubra sunt.","urn:catalog:JBRJ:RB:457722",NA,"Qualea selloi Warm.",NA,NA,NA,-18.45539008,-18.45539008,"centroide estado"
