"","scientificName","new_Lon","new_Lat","municipality","county.shape","status"
"41","Vochysia acuminata Bong.",-43.359005,-18.0765,"sao goncalo do rio preto","sao goncalo do rio preto","Ok"
"42","Vochysia acuminata Bong.",-43.359005,-18.0765,"sao goncalo do rio preto","sao goncalo do rio preto","Ok"
"43","Vochysia acuminata Bong.",-43.610232,-17.993337,"diamantina","diamantina","Ok"
"44","Vochysia acuminata Bong.",-43.610232,-17.993337,"diamantina","diamantina","Ok"
"45","Vochysia acuminata Bong.",-43.647952,-18.470859,"datas","datas","Ok"
"46","Vochysia acuminata Bong.",-43.610232,-17.993337,"diamantina","diamantina","Ok"
"47","Vochysia acuminata Bong.",-43.610232,-17.993337,"diamantina","diamantina","Ok"
"48","Vochysia acuminata Bong.",-43.565556,-18.199444,"diamantina","diamantina","Ok"
"50","Vochysia acuminata Bong.",-43.789205,-18.908396,"santana de pirapama","santana de pirapama","Ok"
"51","Vochysia acuminata Bong.",-43.546944,-19.251389,"santana do riacho","santana do riacho","Ok"
"52","Vochysia acuminata Bong.",-43.1787660708117,-22.5088534048423,NA,"petropolis","original municipality not informed"
"53","Vochysia acuminata Bong.",-43.77657,-18.935722,"santana de pirapama","santana de pirapama","Ok"
"54","Vochysia acuminata Bong.",-43.331389,-18.236111,"sao goncalo do rio preto","sao goncalo do rio preto","Ok"
"55","Vochysia acuminata Bong.",-39.083333,-14.416667,"urucuca","itacare","outside municipality"
"57","Vochysia acuminata Bong.",-40.804004,-20.085432,"santa maria de jetiba","santa maria de jetiba","Ok"
"58","Vochysia acuminata Bong.",-43.3909755449262,-18.0079727243212,NA,"sao goncalo do rio preto","original municipality not informed"
"59","Vochysia acuminata Bong.",-43.359005,-18.0765,"sao goncalo do rio preto","sao goncalo do rio preto","Ok"
"60","Vochysia acuminata Bong.",-43.7575,-18.859444,"congonhas do norte","congonhas do norte","Ok"
"61","Vochysia acuminata Bong.",-39.471667,-12.869444,"santa teresinha","elisio medrado","outside municipality"
"62","Vochysia acuminata Bong.",-39.471667,-12.869444,NA,"elisio medrado","original municipality not informed"
"63","Vochysia acuminata Bong.",-39.46667,-12.86667,NA,"castro alves","original municipality not informed"
"64","Vochysia acuminata Bong.",-44.272749,-17.473455,"francisco dumont","francisco dumont","Ok"
"65","Vochysia acuminata Bong.",-17.473455,-17.473455,"francisco dumont","not found","outside Brazil"
"66","Vochysia acuminata Bong.",-43.5875,-19.343056,"cardeal mota","santana do riacho","outside municipality"
"67","Vochysia acuminata Bong.",-12.419573,-12.419573,"lencois","not found","outside Brazil"
