"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"44","2014-07-22T18:13:33.000+0000","JBRJ","RB","RB00058972","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","M.C. Duarte","2006-09-18T00:00:00.000+0000",NA,"2779",NA,"Vasco Gomes",1968,7,5,"Brazil","Minas Gerais","Minas Gerais","Mucungê, Grama Juiz de Fora.",NA,NA,"Árvore com  20 metros de alt. a com 30 cm de diâmetro.","urn:catalog:JBRJ:RB:58972",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"45",NA,"NY","NY","402437","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","A. G. M. W. A. Robyns","1968-01-01T00:00:00.000+0000",NA,"18336",NA,"H. S. Irwin",1966,7,23,"Brazil","Distrito Federal",NA,"Swamp forest, near LagÃ´a Mestre d'Armas, ca. 5 km NW of Planaltina, D.F.",-47.692778,-15.5801,NA,"a6a9effc-b764-4b7e-8220-df0cedfd80b9",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"46",NA,"US","Botany","2709035","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"18336",NA,"H. S. Irwin, J. W. Grear, R. Sousa & R. Reis dos Santos",1966,7,23,"Brazil","Distrito Federal",NA,"swamp forest, near Lagoa Mestre d'Armas, ca 5km N.W. of Planaltina, D.F.",NA,NA,NA,"http://n2t.net/ark:/65665/31f980c48-0e2d-4024-9dbe-730c3bccc39b",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"47",NA,"NY","NY","402436","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","A. G. M. W. A. Robyns","1968-01-01T00:00:00.000+0000",NA,"18336",NA,"H. S. Irwin",1966,7,23,"Brazil","Distrito Federal",NA,"Swamp forest, near LagÃ´a Mestre d'Armas, ca. 5 km NW of Planaltina, D.F.",-47.692778,-15.5801,NA,"9ffb1d41-44cb-42fc-a4d8-2eef8a957704",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"48",NA,"F","Botany",NA,"Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","RRC ID Flag","1968-01-01T00:00:00.000+0000",NA,"18336","18336","H. S. Irwin",1966,7,23,"Brazil","Distrito Federal",NA,NA,-47.75,-15.75,NA,"9214a3cc-443b-42d5-8896-dd5ec3f758e9",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"49","2015-09-04T19:16:02.000+0000","MNHN","P","P06627679","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,NA,"18336","Irwin, H.S.|Grear, J.W.|Santos, R.R.|Souza, R.",1966,7,23,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p06627679",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"50",NA,"UnB","UB","21025","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Martins, VLC",NA,NA,"6716",NA,"Hunt, DR",1966,NA,NA,"Brazil","Distrito Federal","Planaltina",NA,0,0,".","BRA:UnB:UB:0000021025",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"51",NA,"Instituto de Botânica, IBT","SP","394923","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","Martins, VLC","1992-06-01T00:00:00.000+0000",NA,"2908",NA,"Duarte, AP",1950,8,26,"Brazil","Minas Gerais","Patos de Minas","Colonia, Fazenda da Prata",0,0,NA,"BRA:IBt:SP:0000394923",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"52","2017-11-19T08:45:58.000+0000","JBRJ","RB","RB00059276","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns","VLCMartins",NA,NA,"2908",NA,"A.P.Duarte",1950,8,26,"Brazil","Minas Gerais","Minas Gerais","Fazenda  da  Prata  -  Colônia  .",NA,NA,"Árvore de porte elevado, ca. 10-15 m , com cortex fendida longitudinalmente, porém muito lisa. Flores alvacentes.","urn:catalog:JBRJ:RB:59276",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
"53",NA,"US","Botany","2627808","Eriotheca candolleana (K.Schum.) A.Robyns",NA,"Malvaceae","Eriotheca","candolleana",NA,"(K.Schum.) A.Robyns",NA,NA,NA,"2908",NA,"A. Duarte",1950,8,26,"Brazil","Minas Gerais",NA,"Fazenda Prata, Colonia",NA,NA,NA,"http://n2t.net/ark:/65665/3ed3a4e93-730b-404e-9ab6-c1460bffd8be",NA,"Eriotheca candolleana (K.Schum.) A.Robyns"
