"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"11","","","RB","RB00747727","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","M.F. Silveira","","","98","","M.F. Devecchi; et al","2011","4","20","brazil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama, trilha do Quirinão.","-40","-18","Arbusto, ca. 3m alt. Frutos amarelos","","original coordinates","GBIF","Rudgea gardenioides Müll.Arg."
"12","","","FUEL","51181","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","Ferreira Jr, M","2012-10-23","","221","","Ferreira Jr, M; Francisco, EM","2011","8","26","brazil","Paraná","Cambé","Parque Histórico Municipal Danziger Hof","-51.279","-23.300056","Árvore 5m. Flor com corola branca. Eixo da inflorescência branco.","","original coordinates","GBIF","Rudgea gardenioides Müll.Arg."
"13","","","SPSF","52212","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","N.M.Ivanauskas","2010-06-22","","146","","R.L.R.Santos & T.M.Ribeiro & R.T.Polisel","2010","6","22","brazil","Sp","Itaberá","Estação Ecológica","-49.144167","-23.833889","COLETA: Individuo com fruto.; GEOGRAFIA: Floresta Ombrófila mista.;","","original coordinates","GBIF","Rudgea gardenioides Müll.Arg."
"14","","","RB","RB01213124","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","E. Barbosa","2011-01-01","","1688","","J. Carneiro","2010","10","22","brazil","Paraná","Jundiaí do Sul","Fazenda Monte Verde.","-50.232122","-23.47341","","","centroide mpo","GBIF","Rudgea gardenioides Müll.Arg."
"15","","","SPSF","39455","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","F. A. R. D. P. Arzolla","2008-03-17","","167","","C. de Moura & O. T. Aguiar & F. A. R. D. P. Arzolla & F.E.S.P.Vilela","2008","2","28","brazil","Sp","Mairiporã","Parque Estadual da Cantareira, Hortolândia","-46.523889","-23.357222","COLETA: Árvore 8m, frutos imaturos verdes e maduros vermelhos.;","","original coordinates","GBIF","Rudgea gardenioides Müll.Arg."
"16","","","CESJ","49903","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","J.A. Oliveira","2009-10-01","","97","","M.G. Rezende; R.C.L. Elias; F.R.G. Salimena; P.H. Nobre; S.A. Roman; F.S. Souza","2008","3","28","brazil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Pedra Branca","-46.364346","-21.891761","Árvore ca.8 m, no interior da mata. Frutos alaranjados.","","centroide mpo (0)","GBIF","Rudgea gardenioides Müll.Arg."
"17","","","CESJ","52153","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","J.A. Oliveira","2009-10-01","","500","","A.S.M. Valente; F.S. Souza; T.M. Machado; M.G. Rezende; P.O. Garcia; R.C.L. Elias","2008","9","14","brazil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Serra da Pedra Branca.","-46.364346","-21.891761","Arbusto ca. 2,5m alt., no interior da mata, próximo à trilha. Ca. 1790m altitude. Frutos imaturos verdes, maduros avermelhados. Folhas discolores.","","centroide mpo (0)","GBIF","Rudgea gardenioides Müll.Arg."
"18","","","CESJ","52136","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","J.A. Oliveira","2009-10-01","","193","","M.G. Rezende; F.S. Souza; T.M. Machado","2008","9","14","brazil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Serra da Pedra Branca","-46.364346","-21.891761","Arbusto ca. 1,5m no interior da mata, abundante no local. Frutos alaranjados e avermermelhados. 21° 58' 42,2"" S 46° 22' 15,7"" W DATUM SAD 69","","centroide mpo (0)","GBIF","Rudgea gardenioides Müll.Arg."
"19","","","SPSF","39187","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","F. A. R. D. P. Arzolla","2007-09-20","","150","","C. de Moura & F. A. R. D. P. Arzolla & F.E.S.P.Vilela","2007","9","20","brazil","Sp","Mairiporã","Parque Estadual da Cantareira, Hortolândia","-46.524444","-23.358056","COLETA: Floresta Ombrófila Densa Montana&nf;Arvoreta 4m, botões brancos;","","original coordinates","GBIF","Rudgea gardenioides Müll.Arg."
"20","","","SPSF","37523","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","F. A. R. D. P. Arzolla","2007-11-27","","1144","","F. A. R. D. P. Arzolla & C.de Moura & F.E.S.P.Vilela & G.C.R.de Paula","2007","11","8","brazil","Sp","Guarulhos","Parque Estadual da Cantareira, Núcleo Cabuçú","-46.531944","-23.392222","COLETA: Árvore, 8 metros, botões florais esverdeados.; GEOGRAFIA: Trilha da Cachoeira.;","","original coordinates","GBIF","Rudgea gardenioides Müll.Arg."
"21","","","UEC","161835","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","Arzolla, FARDP","2007-11-01","","1144","","Arzolla, FARDP; et al.","2007","11","8","brazil","São Paulo","Guarulhos","Parque Estadual da Cantareira, Núcleo Cabuçu, Trilha da Cachoeira","-46.531878","-23.392308","Árvore, 8 metros, botões florais esverdeados","","original coordinates","GBIF","Rudgea gardenioides Müll.Arg."
"22","","","P","P05458674","Rudgea gardenioides Müll.Arg.","","Rubiaceae","Rudgea","gardenioides","","Müll.Arg.","Bruniera","","","","","Almeida-Scabbia, R.J.|Dias, R.|Indiunas, A.|Evangelista, E.","2007","12","13","brazil","São Paulo","","","-46.43972","-23.77917","","","original coordinates","GBIF","Rudgea gardenioides Müll.Arg."
