"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","comments"
"389","2014-07-22T13:50:13.000+0000","JBRJ","RB","RB00363741","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch","Piero Delprete","1995-01-01T00:00:00.000+0000",NA,NA,NA,"A.Ducke; J.G.Kuhlmann",1921,9,28,"Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado.",NA,NA,"Árvorede 10-15m de altura.","urn:catalog:JBRJ:RB:363741",NA,"Rustia formosa Klotzsch",NA,NA
"390",NA,"Instituto de Botânica, IBT","SP","23938","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch","Delprete, PG","1999-01-01T00:00:00.000+0000",NA,"16",NA,"Edwall, G",1899,8,9,"Brazil","São Paulo","Cubatão","Água Fria",0,0,NA,"BRA:IBt:SP:0000023938",NA,"Rustia formosa Klotzsch",NA,NA
"391","2015-04-11T14:08:49.000+0000","S","VascularPlants","S14-27870","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"3408","3408","Hj. Mosen",1875,1,2,"Brazil","São Paulo",NA,"Ex herb. Brasil. regnellian. Musei bot. Stockholm. Prov. S. Paulo. Santos",NA,NA,NA,"S:VascularPlants:S14-27870",NA,"Rustia formosa Klotzsch",NA,NA
"392","2015-04-11T14:08:49.000+0000","S","VascularPlants","S14-27872","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"3408","3408","Hjalm Mosen",1875,1,2,"Brazil","São Paulo",NA,"Mus. Bot.  Holm. Herb. Brasil. Regnelli. Prov. S. Paulo. Santos Sororocaba",NA,NA,NA,"S:VascularPlants:S14-27872",NA,"Rustia formosa Klotzsch",NA,NA
"393","2015-04-11T14:08:49.000+0000","S","VascularPlants","S14-27869","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"3408","3408","M [Mosen]",1875,NA,NA,"Brazil","São Paulo",NA,"Santos",NA,NA,NA,"S:VascularPlants:S14-27869",NA,"Rustia formosa Klotzsch",NA,NA
"394","2011-10-06T00:00:00.000+0000","BR",NA,"BR0000005749836","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"2607",NA,"Glaziou A.",1868,1,28,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000005749836",NA,"Rustia formosa Klotzsch",NA,NA
"395","2011-10-06T00:00:00.000+0000","BR",NA,"BR0000005748563","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"1",NA,"Glaziou A.",1864,2,15,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000005748563",NA,"Rustia formosa Klotzsch",NA,NA
"396","2012-07-06T00:00:00.000+0000","BR",NA,"BR0000005748235","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"1BIS",NA,"Glaziou A.",1864,3,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000005748235",NA,"Rustia formosa Klotzsch",NA,NA
"397","2015-04-11T14:08:48.000+0000","S","VascularPlants","S14-27868","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,"Widgren",1844,NA,NA,"Brazil","Rio de Janeiro",NA,"Ex herb. Brasil. Regnellian. Musei bot. Stockholm Rio de Janiero",NA,NA,NA,"S:VascularPlants:S14-27868",NA,"Rustia formosa Klotzsch",NA,NA
"398",NA,"US","Botany","938268","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"s.n.",NA,"-- Widgren",1844,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/314fc5c95-1dff-4b53-8dab-c42ad21cbb72",NA,"Rustia formosa Klotzsch",NA,NA
"399","2011-10-06T00:00:00.000+0000","BR",NA,"BR0000005736041","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"1036",NA,"Widgren J.F.",1844,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000005736041",NA,"Rustia formosa Klotzsch",NA,NA
"400","2015-04-11T14:08:48.000+0000","S","VascularPlants","S14-27867","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,NA,NA,"Widgren",1844,NA,NA,"Brazil","Rio de Janeiro",NA,"Mus. Bot. holm. Herb. Brasil. Regnelli Rio de Janiero",NA,NA,NA,"S:VascularPlants:S14-27867",NA,"Rustia formosa Klotzsch",NA,NA
"401","2015-04-11T14:08:49.000+0000","S","VascularPlants","S14-27873","Rustia formosa Klotzsch",NA,"Rubiaceae","Rustia","formosa","Klotzsch",NA,NA,NA,"825","825","Widgren",1843,NA,NA,"Brazil",NA,NA,"Brasilien",NA,NA,NA,"S:VascularPlants:S14-27873",NA,"Rustia formosa Klotzsch",NA,NA
