"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","fieldNumber","comments"
"41",NA,"UEFS","HUEFS","172392","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.F.P.Machado","2012-06-01T00:00:00.000+0000","1255","Ferreira, M.C.",2002,5,4,"Brazil","Bahia","Bom Jesus da Lapa","Serra Azul, Fazenda Pedreira.",-43.288333,-13.074167,"Savana Estépica (Caatinga).","BRA:UEFS:HUEFS:0000172392",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"44",NA,"Cenargen","CEN","60634","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","J. B. Bringel",NA,"9","Luciana Álvares da Silva",2001,3,28,"Brazil","Go","SAO DOMINGOS","Fazenda São José - Vale do Paranã.",-46.69861,-13.82611,NA,"BRA:Cenargen:CEN:0000060634",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"45",NA,"UEFS","HUEFS","54546","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.Rapini","2006-03-01T00:00:00.000+0000","3521","França, F.",2001,5,15,"Brazil","Bahia","Bom Jesus da Lapa","Morro de Bom Jesus.",-40.419722,-13.258889,"Vegetação antropizada entre rochas.","BRA:UEFS:HUEFS:0000054546",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"46",NA,"UEFS","HUEFS","43559","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.Rapini","2006-01-01T00:00:00.000+0000","5812","Queiroz, L.P.de",2000,2,10,"Brazil","Bahia","Bom Jesus da Lapa","Morro acima da igreja no centro da cidade.",-43.419722,-13.258889,"Vegetação lenhosa esparsa sobre morro calcáreo com muitos afloramentos.","BRA:UEFS:HUEFS:0000043559",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"47","2017-11-19T07:52:37.000+0000","JBRJ","RB","RB00225596","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A.F.P. Machado",NA,NA,"LAURE EMPERAIRE",1984,2,16,"Brazil","Piauí","São Raimundo Nonato","OLHO  D´ÁGUA  DA  COTA  .",NA,NA,"LÁTEX.   ALT.  12 M","urn:catalog:JBRJ:RB:225596",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"48",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","101249","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A. F. P. Machado",NA,"17","L. A. de Junior",NA,NA,NA,"Brazil","Bahia","BOM JESUS DA LAPA","Médio São Francisco. 15Km da cidade em direção a Ibotirama. - 3Km para o Morrão.",-43.308056,-13.163611,"Ambiente: Caatinga Arbórea. Habito: Árvore, ca. 6m. Látex discolores","BRA:CEPLAC:CEPEC:0000101249",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"49",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","25845","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","R. M. de castro",NA,"21392","R. M. Harley",NA,NA,NA,"Brazil","Bahia","BOM JESUS DA LAPA","Acima da Bacia do Rio São Francisco.",-43.433333,-13.25,"Ambiente: Caatinga, vegetação decídua disturbada. Habito: Árvore, 8m.","BRA:CEPLAC:CEPEC:0000025845",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"50",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","100204","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A. F. P. Machado",NA,"5812","L. P. de Queiroz",NA,NA,NA,"Brazil","Bahia","BOM JESUS DA LAPA","Morro acima da igreja no centro da cidade.",-43.419722,-13.258889,"Ambiente: Vegetação lenhosa esparsa sobre morro calcáreo com muitos aflorametos. Habito: Árvore, ca. 15m e 40cm DAP","BRA:CEPLAC:CEPEC:0000100204",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"51",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","97180","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A. F. P. Machado",NA,"3521","F. França",NA,NA,NA,"Brazil","Bahia","BOM JESUS DA LAPA","Morro de Bom Jesus.",-40.419722,-13.258889,"Ambiente: Vegetação antropizada. Entre rochas. Habito: Arbusto arborescente, até 15m.","BRA:CEPLAC:CEPEC:0000097180",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
"52",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","75841","Ficus bonijesulapensis R.M.Castro","Moraceae","Ficus","bonijesulapensis","R.M.Castro","A. F. P. Machado",NA,"1197","S. R. Neto",NA,NA,NA,"Brazil","São Paulo","botucatu","Rodovia SP-255.",NA,NA,"Ambiente: Mata. Habito: Árvore, ca. 4m.","BRA:CEPLAC:CEPEC:0000075841",NA,"Ficus bonijesulapensis R.M.Castro",NA,NA,NA,NA,NA
