"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"32","","","HUEFS","142344","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","A.F.P.Machado","2010-09-01","","2121","","Cardoso, D.","2007","8","12","brazil","Bahia","Almadina","Serra do Corcovado. 13,8 km ao SW de Coaraci na estrada para Almadina. Faz. São José. Proprietário Sr. Francisco. Floresta ombrófila Densa Montana.","-39.603333","-14.705833","","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"33","","","MBML-HERBARIO","41024","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","A.F.P. Machado/28-09-2009","","","102","","M.B. Faria; F.C. Teotônio","2007","10","6","brazil","Espírito Santo","São Mateus","Bairro Liberdade. Vegetação de restinga pleistocênica. Estrada de terra adjacente a uma fábrica de tijolos, depois do Hospital Roberto Silvares no sentido São Mateus-Guriri","-40.02055","-18.748914","Planta de 3m com muito látex, frutos verdes com pontos vermelhos","","centroide mpo","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"34","","","HUEFS","105500","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","R.M.de Castro","2006-02-01","","1056","","Cardoso, D.","2006","2","3","brazil","Bahia","Camaçari","Arembepe. Condomínio Laguna.","-38.35","-12.933333","Fragmentos de restinga arbórea com áreas abertas em solo bastante arenoso.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"35","","","HUEFS","105515","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","R.M.de Castro","2006-02-01","","1071","","Cardoso, D.","2006","2","3","brazil","Bahia","Camaçari","Arembepe. Condomínio Laguna.","-38.35","-12.933333","Fragmentos de restinga arbórea com áreas abertas em solo bastante arenoso.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"36","","","ESA","ESA098325","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","Rapini, A.","2006-01-01","","1103","","Castro, R.M.","2005","1","20","brazil","Bahia","Mucugê","","-41.469352","-13.061639","","","centroide mpo","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"37","","","UPCB","55243","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","","","","4020","","Melo, E.de","2005","9","5","brazil","Bahia","Barreiras","Rio de Janeiro.","-45.825833","-11.881944","Arbusto ereto ca. 50cm alt. Latex branco leitoso. Folhas coriáceas discolores. Sicônios verdes. Vereda formada..","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"38","","","HUEFS","78174","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","","2005-11-01","","415","","Macedo, G.E.L.","2004","1","21","brazil","Bahia","Mata de São João","Massarandupió","-37.831389","-12.315","Restinga. Dunas.","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"39","","","R","215190","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","Castro, R.M.","2004-12-01","","1066","","Castro, R.M.","2004","12","6","brazil","Bahia","Eunápolis","","-39.353889","-16.423056","mata atlântica, cabruca (lavoura de cacau sob árvores remanescentes da mata) substrato argiloso","","original coordinates","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"40","","","R","215189","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","Machado, A.F.P.","","","2230","","Vervloet, R.R.","2003","4","10","brazil","Espírito Santo","Santa Teresa","Nova Lombardia","-40.635175","-19.877577","","","centroide mpo","GBIF","Ficus bahiensis C.C.Berg & Carauta"
"41","","","MBM","285796","Ficus bahiensis C.C.Berg & Carauta","","Moraceae","Ficus","bahiensis","","C.C.Berg & Carauta","Castro, RM","","","75362","","Hatschbach, G; et al.","2003","6","15","brazil","Bahia","Una","Ligação da Rod. BA-001 a Pedra do Una","-39.154571","-15.224128","","","centroide mpo (0)","GBIF","Ficus bahiensis C.C.Berg & Carauta"
