"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"11","","","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","103885","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Renner, S.S.","1982-01-01","","149","","Teixeira, LOA","1982","5","2","brazil","Amazonas","","Estrada Humaitá-Porto Velho Km 60","-63","-8","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"12","","","NY","1290245","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","6283","","C. R. Sperling","1982","6","22","brazil","ParÃ¡","","Serra dos CarajÃ¡s.  Ca. 20 km east of AMZA camp N-5, 7 km northwest of new airport.","-50.05","-6.07","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"13","","","Herbarium","K000968760","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Morley, T.","","","6283","","Silva, M.G.; Rosario, C.S.; Sperling, C.R.; Condon, M.; Lima, R.P.; Santos, J.C.","1982","6","22","brazil","","","20km east of AMZA camp N-5, 7km northwest of new airport.","-50.05","-6.07","supported in greater part by the National Science Foundation and the Conselho Nacional de Desenvolvimento Científico e Tecnológico(CNPq)","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"14","","","MO","3263594","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","T. Morley","1985-01-01","","Sperling 6283","","Calvin R. Sperling|Milton G. da Silva|M. Condon|Carlos S. Rosário|R. Pereira de Lima|J.C. dos Santos","1982","","","brazil","Pará","","Ca. 20 km east of AMZA camp N-5, 7 km northwest of new airport. primary forest on thin soils along road and powerline.","-50.05","-6.06666","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"15","","","Herbarium","K000968757","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Morley, T.","","","3851","","Silva, N.A.; Pinheiro, A.N.; Nelson, B.W.; Rosário, C.S.; Strudwick, J.J.; Sobel, G.L.","1981","7","27","brazil","","","Lageira, airstrip on Rio Maicuru.","-54.43","-0.92","Field work supported by The National Science Foundation and the Conselho Nacional de Desenvolvimento Científico e Tecnológico(CNPq).","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"16","","","BOT-BC","540851","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","3851","","Strudwick, J J; Sobel, G L; Nelson, B. W.; Nazaré Pinheiro, A.; da Silva Rosário, C.; Alves da Silva, N.","1981","7","","brazil","Pará","","Lageira, airstrip on Rio Maicuru","-54.433333","-0.916667","Tree, 12 m. Fruits green.","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"17","","","NY","1290250","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","3851","","J. J. Strudwick","1981","7","27","brazil","ParÃ¡","","Lageira, airstrip on Rio Maicuru","-54.433333","-0.916667","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"18","","","MO","3258557","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","T. Morley","1984-01-01","","Strudwick 3851","","J.J. Strudwick|G.L. Sobel|Bruce W. Nelson|A. Nazare P.|C. da Silva R.|N. Alves da Silva","1981","7","27","brazil","Pará","","Lageira, airstrip on rio maicuru. Lowland forest.","-54.43333","0.91666","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"19","","","MO","3258445","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","T. Morley","1984-01-01","","Daly 1774","","Douglas C. Daly","1981","12","6","brazil","Pará","","Serra dos carajas, 20-25 km NW of Serra Norte mining camp . Semi-deciduous forest and scrub.","-50.43333","-5.91666","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"20","","","NY","1290249","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","","","","1909","","D. C. Daly","1981","12","","brazil","Pará","","Serra dos Carajás: ""Azul"", near camp at Serra Norte (22 km NW, then 10-15 km SW).","-50.47","-5.98","","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"21","","","Herbarium","K000968756","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Morley, T.","","","1909","","Callejas, R.; Silva, M.G.; Taylor, E.L.; Santos, M.R.; Daly, D.C.; Rosario, C.","1981","12","8","brazil","","","Serra dos Carajás, near camp at Serra Norte (22 km NW, then 10-15km SW).","-50.47","-5.98","Plants collected under the joint sponsorship of the National Science Foundation Latin-American collaborative program and the Conselho Nacional de Desenvolvimento Cientifico e Tecnologico in collaboration with the Instituto Nacional de Pesquisas da Amazoni","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"22","","","HAMAB","4631","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Morley, T.","1984-01-01","","1774","","Daly, D.C.","1981","12","6","brazil","Pará","Serra dos Carajás","Serra dos Carajás, 20-25 Km NW of Serra Norte mining camp","-50.433333","-5.916667","Tree 20m tall, buds cream tinged with pink. Semi-deciduos forest and shrub.","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
"23","","","Herbarium","K000968759","Mouriri brachyanthera Ducke","","Melastomataceae","Mouriri","brachyanthera","","Ducke","Morley, T.","","","1774","","Callejas, R.; Silva, M.G.; Taylor, E.L.; Santos, M.R.; Daly, D.C.; Rosario, C.","1981","12","6","brazil","","","Serra dos Carajás, 20-25km NW of Serra Norte .","-50.43","-5.92","Plants collected under the sponsorship of the National Science Foundation Latin-American collaborative program and the Conselho Nacional de Desenvolvimento Cientifico e Tecnológico in collaboration with the Instituto Nacional de Pesquisas da Amazônia-Mana","Mouriri brachyanthera Ducke","","original coordinates","GBIF"
